Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep1_1hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep1_1hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep1_6hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep1_6hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep1_24hr_DMSO_20240315120525.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep1_24hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep2_1hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep2_1hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep2_6hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep2_6hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep2_24hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep2_24hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep3_1hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep3_1hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep3_6hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep3_6hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep3_24hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep3_24hr_Torin1_inj3.mzML
Q9NYF3	Q9NYF3	FA53C_HUMAN	FAM53C	Protein FAM53C	9.2759e+06	5.32411e+06	4.23323e+06	8.29212e+06	6.01075e+06	5.56036e+06	1.0938e+07	4.76974e+06	3.40788e+06	9.57771e+06	3.41245e+06	7.12498e+06	8.09111e+06	3.42316e+06	1.31492e+07	2.50461e+06	4.5245e+06	7.99156e+06
Q9NYF8	Q9NYF8	BCLF1_HUMAN	BCLAF1	Bcl-2-associated transcription factor 1	27142		82124.6			106011		31830.2	28091.8					26633.2		52089.7	67097	180691
Q9NYL9	Q9NYL9	TMOD3_HUMAN	TMOD3	Tropomodulin-3												687357						
Q9NYT0	Q9NYT0	PLEK2_HUMAN	PLEK2	Pleckstrin-2						442327						83508.9						
Q9NYU2	Q9NYU2	UGGG1_HUMAN	UGGT1	UDP-glucose:glycoprotein glucosyltransferase 1			484056	238787	257357	152093	135618	252349	322222		352130	1.38746e+06		176640		209621	395502	266681
Q9NZ53	Q9NZ53	PDXL2_HUMAN	PODXL2	Podocalyxin-like protein 2			72615	126504	60764				60109.1	76786.4	98160.8				104089		142420	
Q9NZL9	Q9NZL9	MAT2B_HUMAN	MAT2B	Methionine adenosyltransferase 2 subunit beta	243581	340052	236808			162859	237159	294616	207574		102253	76976.3	257606	306986		246726	201937	138246
Q9NZN4	Q9NZN4	EHD2_HUMAN	EHD2	EH domain-containing protein 2						101605												
Q9NZR1	Q9NZR1	TMOD2_HUMAN	TMOD2	Tropomodulin-2	3.83118e+06	1.97231e+06	2.37015e+06	904167	120713	248181	4.19789e+06	1.25013e+06	1.82566e+06	1.33068e+06	260490		3.00399e+06	633693	2.36677e+06	529796	364633	549760
Q9P035	Q9P035	HACD3_HUMAN	HACD3	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 3					343614	911939												
Q9P0J7	Q9P0J7	KCMF1_HUMAN	KCMF1	E3 ubiquitin-protein ligase KCMF1	28679.4				348660			69082.4						53875		66611.2	47537.8	
Q9P0R6	Q9P0R6	GSKIP_HUMAN	GSKIP	GSK3B-interacting protein						414085												
Q9P0S9	Q9P0S9	TM14C_HUMAN	TMEM14C	Transmembrane protein 14C					787440	1.37014e+06	681069		675805		497369					289215		434586
Q9P258	Q9P258	RCC2_HUMAN	RCC2	Protein RCC2	2.28474e+06	2.8411e+06	2.42228e+06	2.38419e+06	916682	2.90582e+06	2.60394e+06	2.45709e+06	2.45246e+06	2.34029e+06	803803	2.87525e+06	2.72627e+06	3.12418e+06	2.48833e+06	2.70563e+06	1.41174e+06	2.57499e+06
Q9P265	Q9P265	DIP2B_HUMAN	DIP2B	Disco-interacting protein 2 homolog B	119449	129434	240314	333622	422890	236931	70112.4	113969	272817	303053	459134			78813.9	204425	98038.4	500156	182447
Q9P2B2	Q9P2B2	FPRP_HUMAN	PTGFRN	Prostaglandin F2 receptor negative regulator	116391	174287	478231	1.06227e+06	1.0861e+06	665022	191710	129179	691059	859614	1.16935e+06	872509		187547		181166	1.19951e+06	773903
Q9P2J5	Q9P2J5	SYLC_HUMAN	LARS1	Leucine--tRNA ligase, cytoplasmic				260606	1.32942e+06	745436	267788	164053	234811			903857		196440		163818		411556
Q9UBB4	Q9UBB4	ATX10_HUMAN	ATXN10	Ataxin-10					39387.1							634304						
Q9UBD5	Q9UBD5	ORC3_HUMAN	ORC3	Origin recognition complex subunit 3						159628												
Q9UBE0	Q9UBE0	SAE1_HUMAN	SAE1	SUMO-activating enzyme subunit 1	215894	368085	217859	350033	1.03674e+06	151614	334451	357405	269554	259090		197862	736899	494166	246805	392076	137018	256389
Q9UBF2	Q9UBF2	COPG2_HUMAN	COPG2	Coatomer subunit gamma-2					374378													
Q9UBF2;Q9Y678	Q9UBF2;Q9Y678	COPG1_HUMAN;COPG2_HUMAN	COPG1;COPG2	Coatomer subunit gamma-2		69159.4						192343	71942.6			373666		68210.3		74910.2		
Q9UBI6	Q9UBI6	GBG12_HUMAN	GNG12	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12	620129	471694	1.11891e+06	991820	1.6989e+06	2.07069e+06	663685	557443	988167	1.11356e+06	3.14495e+06	972668	77150.4	244490	1.21771e+06	753640	2.19836e+06	1.98451e+06
Q9UBK7;Q9UNT1	Q9UNT1;Q9UBK7	RBL2A_HUMAN;RBL2B_HUMAN	RABL2A;RABL2B	Rab-like protein 2A	1.44091e+06	1.41548e+06	848866	790644		203202	1.32332e+06	1.06717e+06	917766	938312	48951.2			675935	310740	398063		
Q9UBQ0	Q9UBQ0	VPS29_HUMAN	VPS29	Vacuolar protein sorting-associated protein 29					45471.7	436074												
Q9UBQ6	Q9UBQ6	EXTL2_HUMAN	EXTL2	Exostosin-like 2	203429	112847	599467	311945	621845	164162	208593		671676	488823	1.03359e+06				390381	189870	1.04667e+06	286946
Q9UBQ7	Q9UBQ7	GRHPR_HUMAN	GRHPR	Glyoxylate reductase/hydroxypyruvate reductase	202621				60565.1	328741	197553	174944				1.10597e+06		290196		130250	7804.07	110343
Q9UBR2	Q9UBR2	CATZ_HUMAN	CTSZ	Cathepsin Z	1.45411e+06	1.31115e+06	4.23886e+06	3.38921e+06	1.05072e+07	3.8338e+06	2.06069e+06	1.27248e+06	5.02238e+06	4.22266e+06	1.05174e+07	2.64668e+06	782511	409218	3.8928e+06	1.30764e+06	1.01817e+07	3.46504e+06
Q9UBS4	Q9UBS4	DJB11_HUMAN	DNAJB11	DnaJ homolog subfamily B member 11	882052	1.53892e+06	3.05376e+06	1.77488e+06	4.77413e+06	717029	1.48001e+06	778171	3.00347e+06	1.81445e+06	6.50842e+06	7.73626e+06	799359	653954	4.04823e+06	1.31939e+06	6.20373e+06	679664
Q9UBT2	Q9UBT2	SAE2_HUMAN	UBA2	SUMO-activating enzyme subunit 2	620442	563283	550154	505674	252995	812557	645402	682255	650107	436238	165263	560197	174769	668047	400009	570233	521046	870260
Q9UBW8	Q9UBW8	CSN7A_HUMAN	COPS7A	COP9 signalosome complex subunit 7a	65227		176445		107351	538304	133426	46579.5	79127.6	91014.5	61551.7	275580	150148	84530.4	128082	168570	63610.7	128349
Q9UBX1	Q9UBX1	CATF_HUMAN	CTSF	Cathepsin F	61626.6		281936	334964	671674	172253	425091		435860		517224	208839			57876.9		624136	179183
Q9UBX3	Q9UBX3	DIC_HUMAN	SLC25A10	Mitochondrial dicarboxylate carrier						183027												35296.9
Q9UBX5	Q9UBX5	FBLN5_HUMAN	FBLN5	Fibulin-5	190135	341641	372882	455362	424641	228207	177250	224692	670564	259772	420245			54745.8	424301	66082.5	674933	209960
Q9UFE4	Q9UFE4	CCD39_HUMAN	CCDC39	Coiled-coil domain-containing protein 39	3.46548e+06	3.01395e+06				6.54408e+06	3.12225e+06		4.24624e+06			9.65941e+06	4.55276e+06	3.17889e+06	5.01787e+06		2.52788e+06	6.99905e+06
Q9UGI8	Q9UGI8	TES_HUMAN	TES	Testin		194800	157089	188537		388278	68889.1	186148	174496	338266	76941.1			96122		245620	121800	251601
Q9UH65	Q9UH65	SWP70_HUMAN	SWAP70	Switch-associated protein 70	68699.5	64576	13773.8	41832.2	38671.2			86928.7	62841.9	87836.2	20419.4			38961.4		53073.6	68576	52310.8
Q9UHB6	Q9UHB6	LIMA1_HUMAN	LIMA1	LIM domain and actin-binding protein 1		93728.7	45115.3	91511.2	28377.6	124224		100554	175045	89885.5				169333		88485.4	50443.5	87463.9
Q9UHB9	Q9UHB9	SRP68_HUMAN	SRP68	Signal recognition particle subunit SRP68				34644.5		99169.2					46712.8	768205				66579.2	55961.2	174854
Q9UHC1	Q9UHC1	MLH3_HUMAN	MLH3	DNA mismatch repair protein Mlh3	406680	133099	343650	276054			373651	168113	177555	188980				155257	69528.9	88179.7		23837.6
Q9UHD1	Q9UHD1	CHRD1_HUMAN	CHORDC1	Cysteine and histidine-rich domain-containing protein 1	103231	137945	233621	169109	32860.1	353751	152457	214774	233115	237722	20547.3	492526		202836	86190.9	282658	111555	368857
Q9UHD2	Q9UHD2	TBK1_HUMAN	TBK1	Serine/threonine-protein kinase TBK1					120802	378940												
Q9UHD8	Q9UHD8	SEPT9_HUMAN	SEPTIN9	Septin-9	781234	966074	1.34585e+06	1.38013e+06	1.00556e+06	1.70212e+06	1.01324e+06	1.17848e+06	1.44387e+06	1.04386e+06	1.22449e+06	1.5137e+06	1.41131e+06	1.36854e+06	1.49228e+06	1.67669e+06	1.31008e+06	1.8959e+06
Q9UHL4	Q9UHL4	DPP2_HUMAN	DPP7	Dipeptidyl peptidase 2	255953	547521	694134	475387	465679	225050	419521	484059	535270	366219	840235			164063	848853	317106	1.19692e+06	160540
Q9UHN6	Q9UHN6	CEIP2_HUMAN	CEMIP2	Cell surface hyaluronidase			76119.5	112588					93113.1	139710	72133.8				77041.6	33630	116209	107871
Q9UHV9	Q9UHV9	PFD2_HUMAN	PFDN2	Prefoldin subunit 2			111648			154577			95698.4					140091		66521.9	129318	128088
Q9UHX1	Q9UHX1	PUF60_HUMAN	PUF60	Poly(U)-binding-splicing factor PUF60		161094	205454	126162		123639		174097	274212					121813		156068		196731
Q9UHY7	Q9UHY7	ENOPH_HUMAN	ENOPH1	Enolase-phosphatase E1	217813	173085	328173	529641	1.39012e+06	77434.3	509712	211196	309225	229794		4.16697e+06		523338		785108	117408	149536
Q9UI10	Q9UI10	EI2BD_HUMAN	EIF2B4	Translation initiation factor eIF-2B subunit delta					597253													
Q9UI12	Q9UI12	VATH_HUMAN	ATP6V1H	V-type proton ATPase subunit H			263422	168587	596871	752271	133096	209880		173401				274199		222219	197636	48883.3
Q9UI26	Q9UI26	IPO11_HUMAN	IPO11	Importin-11					502720	1.73049e+06											233247	
Q9UI32	Q9UI32	GLSL_HUMAN	GLS2	Glutaminase liver isoform, mitochondrial	266032	495932	515365	466081	606760	440668	425259	509499	568021	480018	523097	1.75208e+06	448704	559154	674482	863124	721810	204124
Q9UID3	Q9UID3	VPS51_HUMAN	VPS51	Vacuolar protein sorting-associated protein 51 homolog						544971												
Q9UII2	Q9UII2	ATIF1_HUMAN	ATP5IF1	ATPase inhibitor, mitochondrial	55109.8	47393.2	129614	48273.7	17656.6		84430.2	48988.2	30315.2	45817.4				104561		171990	146367	7248.51
Q9UJJ9	Q9UJJ9	GNPTG_HUMAN	GNPTG	N-acetylglucosamine-1-phosphotransferase subunit gamma			460362	174932	638854			125789	642563	198158	984595				446971		545983	169033
Q9UJU6	Q9UJU6	DBNL_HUMAN	DBNL	Drebrin-like protein	67241.4		142701		119911	348254			232374	81919.1	90396.3			108295	105522	252551	359838	181574
Q9UJV9	Q9UJV9	DDX41_HUMAN	DDX41	Probable ATP-dependent RNA helicase DDX41						337065						577321						
Q9UJZ1	Q9UJZ1	STML2_HUMAN	STOML2	Stomatin-like protein 2, mitochondrial					512291	272397												
Q9UK55	Q9UK55	ZPI_HUMAN	SERPINA10	Protein Z-dependent protease inhibitor	985567	790541	365951	477990	385299	530957	812426	698392	439359	830032	92867.3	376022		415730	960844	277048	212073	543863
Q9UKK9	Q9UKK9	NUDT5_HUMAN	NUDT5	ADP-sugar pyrophosphatase		127896	232126	62342.9		111498	107766		155634	87732.7		62871.6	134682	108529		149896	88788.5	116292
Q9UKM9	Q9UKM9	RALY_HUMAN	RALY	RNA-binding protein Raly	275659	153849	150431	91723.4		121837	300303	136055	60262.7	203213			376704	381191		203158	224546	75288.5
Q9UKN8	Q9UKN8	TF3C4_HUMAN	GTF3C4	General transcription factor 3C polypeptide 4						374495												
Q9UKY7	Q9UKY7	CDV3_HUMAN	CDV3	Protein CDV3 homolog	729735	939880	478481	856419	1.79238e+06	253807	415664	503013	836804	899591	382627	945434	1.18994e+06	783966	1.68754e+06	1.1955e+06	507071	352344
Q9UL46	Q9UL46	PSME2_HUMAN	PSME2	Proteasome activator complex subunit 2	327423	522285	413634	516291	234704	1.13375e+06	230036	593521	488563	618972	307380	1.01222e+06	1.21192e+06	628001	280130	850919	281580	705714
Q9ULC4	Q9ULC4	MCTS1_HUMAN	MCTS1	Malignant T-cell-amplified sequence 1	196274	369745	150095	171349	783193	237928	344016	260179	112062	172478	91913.5		252735	273843	132532	178319	107114	176034
Q9ULF5	Q9ULF5	S39AA_HUMAN	SLC39A10	Zinc transporter ZIP10		229474	761152	827176	1.33674e+06	165216		224938	708963	1.07879e+06	1.72757e+06						595202	128604
Q9ULV4	Q9ULV4	COR1C_HUMAN	CORO1C	Coronin-1C	642070	717276	932969	765466	393728	1.66783e+06	972694	727727	946278	722552	498152	1.25759e+06	323104	995083	389022	1.02791e+06	703443	2.18652e+06
Q9ULX5	Q9ULX5	RN112_HUMAN	RNF112	RING finger protein 112	2.37249e+07	1.65989e+07	5.66972e+06	1.5663e+07	789283	974828	1.96568e+07	1.28303e+07	7.96455e+06	1.41235e+07	1.9255e+06		1.00553e+07	9.51941e+06	9.58771e+06	6.2131e+06	1.4911e+06	1.14063e+06
Q9ULX7	Q9ULX7	CAH14_HUMAN	CA14	Carbonic anhydrase 14	162034		321852	374733	585517	445483	228751		271956	452292	976940	444431				179344	777809	592479
Q9UMR5	Q9UMR5	PPT2_HUMAN	PPT2	Lysosomal thioesterase PPT2	526041	381187	1.09018e+06	1.57191e+06	1.44608e+06	1.01467e+06	823019	532880	1.80279e+06	1.65895e+06	1.71195e+06	1.50007e+06	287137		1.34523e+06	740488	2.11684e+06	853160
Q9UMS4	Q9UMS4	PRP19_HUMAN	PRPF19	Pre-mRNA-processing factor 19	163714	122782	454844	446720	400136	770658	222054	147949	437959	318453	361205	256922	525787	314015	582755	526986	548605	973175
Q9UN70	Q9UN70	PCDGK_HUMAN	PCDHGC3	Protocadherin gamma-C3	507648	366573	521271	297561	253416		308561	164321	518796	474686	249089		671682	91760.6	665772	111482	323068	152783
Q9UN86	Q9UN86	G3BP2_HUMAN	G3BP2	Ras GTPase-activating protein-binding protein 2	106071	204197	207890	124844	607789	392013	121865	157146	207394		105839	2.73628e+06		75997.6	83134.9	123176	163959	262414
Q9UNE7	Q9UNE7	CHIP_HUMAN	STUB1	E3 ubiquitin-protein ligase CHIP		98401.9				78786.2						51630.4			63104	48770.7		84579.9
Q9UNF0	Q9UNF0	PACN2_HUMAN	PACSIN2	Protein kinase C and casein kinase substrate in neurons protein 2	368213	331380	317422	661642	166692	433844	356003	299927	408346	652270	388921	288514		413213	367345	333321	284616	430925
Q9UNL2	Q9UNL2	SSRG_HUMAN	SSR3	Translocon-associated protein subunit gamma			110084		74121.4							798462						
Q9UNM6	Q9UNM6	PSD13_HUMAN	PSMD13	26S proteasome non-ATPase regulatory subunit 13	82551	839521	541590	275580	194679	225799	246164	238795	205455	327258	40036			172078		221811	187945	220930
Q9UNN5	Q9UNN5	FAF1_HUMAN	FAF1	FAS-associated factor 1		47511.1			678118		88861.8	40939.5						57354.5	64130.1	137298	52618.2	40252
Q9UNN8	Q9UNN8	EPCR_HUMAN	PROCR	Endothelial protein C receptor	275848	153954	890818	845837	410759	192547			1.11975e+06	1.02237e+06	799235	1.13505e+06		155192	659598	303218	785474	179667
Q9UNW1	Q9UNW1	MINP1_HUMAN	MINPP1	Multiple inositol polyphosphate phosphatase 1	872027	681937	1.15515e+06	1.79107e+06	2.45748e+06	1.12276e+06	682152	610719	2.04565e+06	1.42951e+06	2.46033e+06	1.67001e+06		417324	873759	766430	3.70675e+06	846280
Q9UNZ2	Q9UNZ2	NSF1C_HUMAN	NSFL1C	NSFL1 cofactor p47	336249	214310	326920	384843		371203	394954	240788	261200	386223	134461	342822		357718	253946	686303	387776	321856
Q9UPN3	Q9UPN3	MACF1_HUMAN	MACF1	Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5						1.31981e+06												
Q9UPT8	Q9UPT8	ZC3H4_HUMAN	ZC3H4	Zinc finger CCCH domain-containing protein 4					318971											53867.7	46186.3	31078.9
Q9UPT9	Q9UPT9	UBP22_HUMAN	USP22	Ubiquitin carboxyl-terminal hydrolase 22						180315												
Q9UPU5	Q9UPU5	UBP24_HUMAN	USP24	Ubiquitin carboxyl-terminal hydrolase 24					74711	738419	47482.7											
Q9UQ80	Q9UQ80	PA2G4_HUMAN	PA2G4	Proliferation-associated protein 2G4	3.95538e+06	4.811e+06	3.93201e+06	3.51192e+06	2.43008e+06	5.62013e+06	4.02779e+06	4.41217e+06	4.00651e+06	3.89903e+06	2.0782e+06	4.09056e+06	3.37438e+06	4.30952e+06	3.80762e+06	4.34524e+06	3.04017e+06	5.52226e+06
Q9Y224	Q9Y224	RTRAF_HUMAN	RTRAF	RNA transcription, translation and transport factor protein						196685				104863								65653.2
Q9Y230	Q9Y230	RUVB2_HUMAN	RUVBL2	RuvB-like 2	426992	446396	472137	314183	108781	392511	216961	482577	632200	297573	181076	433013	553789	410768	464642	539363	294326	427953
Q9Y240	Q9Y240	CLC11_HUMAN	CLEC11A	C-type lectin domain family 11 member A	1.28069e+06	1.11867e+06	2.08126e+06	2.74689e+06	965220	283561	1.41091e+06	940986	2.76845e+06	2.61708e+06	1.06908e+06	590730		253960	2.85805e+06	938971	1.92202e+06	518643
Q9Y241	Q9Y241	HIG1A_HUMAN	HIGD1A	HIG1 domain family member 1A, mitochondrial			49857.3		87044.8		88829.2					884427			43784.9			90794.3
Q9Y262	Q9Y262	EIF3L_HUMAN	EIF3L	Eukaryotic translation initiation factor 3 subunit L	416744	349826	272055	284810	189361	621783	404257	440899	487433	415771	170803	1.34038e+06		364546	325999	449307	400103	610504
Q9Y265	Q9Y265	RUVB1_HUMAN	RUVBL1	RuvB-like 1	311157	252733	329356	401647	161118	452133	359872	385279	453576	362610	291840	312407	147406	484419	477894	657235	254281	606249
Q9Y266	Q9Y266	NUDC_HUMAN	NUDC	Nuclear migration protein nudC	667779	939864	1.04504e+06	1.20258e+06	1.03143e+06	2.67631e+06	698452	1.22489e+06	1.45757e+06	1.25723e+06	920085	1.87316e+06	1.15357e+06	896170	1.80246e+06	1.24719e+06	1.41843e+06	2.84817e+06
Q9Y274	Q9Y274	SIA10_HUMAN	ST3GAL6	Type 2 lactosamine alpha-2,3-sialyltransferase			134221	175946	180462	177963			192463		244347						448771	424213
Q9Y276	Q9Y276	BCS1_HUMAN	BCS1L	Mitochondrial chaperone BCS1					109216	552991												101699
Q9Y281	Q9Y281	COF2_HUMAN	CFL2	Cofilin-2	508331	237869	158758	739251	137385	278370	608048	323129	174174	607785	436127			214773	426285	290387	426888	720681
Q9Y285	Q9Y285	SYFA_HUMAN	FARSA	Phenylalanine--tRNA ligase alpha subunit					295512		61263.4							95296.3		74503.6		
Q9Y2A7	Q9Y2A7	NCKP1_HUMAN	NCKAP1	Nck-associated protein 1						77478.8											77965.3	
Q9Y2G3	Q9Y2G3	AT11B_HUMAN	ATP11B	Probable phospholipid-transporting ATPase IF	419687	166730	83591.7	77301.3			173813	512024	137582		56490.8	136083		621559	202964	87212.5		
Q9Y2J2	Q9Y2J2	E41L3_HUMAN	EPB41L3	Band 4.1-like protein 3	255863	236705	355451	488904	263001	368612	201488	283126	433439	404466	407541	675564		205118	402316	293602	508236	411209
Q9Y2L1	Q9Y2L1	RRP44_HUMAN	DIS3	Exosome complex exonuclease RRP44		120197	80172.6					64140.3	92732					57581.9		72260.8		
Q9Y2S6	Q9Y2S6	TMA7_HUMAN	TMA7	Translation machinery-associated protein 7	1.25047e+06	1.30135e+06	2.70719e+06	1.75839e+06	1.29627e+06	1.56952e+06	1.9928e+06	1.10109e+06	1.39402e+06	1.8471e+06	905855	576499	1.59469e+06	2.05818e+06	2.45284e+06	2.72051e+06	2.06904e+06	1.33888e+06
Q9Y2V2	Q9Y2V2	CHSP1_HUMAN	CARHSP1	Calcium-regulated heat-stable protein 1	71786.9	83564.3	71429.6	69887.5		41959.7	67127.6	91620.4	80566.7	104731	32109.7			99397.7	126322	143989	124522	22177.9
Q9Y2X3	Q9Y2X3	NOP58_HUMAN	NOP58	Nucleolar protein 58			584394		693349	73970.5	550060										268046	311818
Q9Y2X7	Q9Y2X7	GIT1_HUMAN	GIT1	ARF GTPase-activating protein GIT1					56816.1	479222											26428.4	122059
Q9Y2Z4	Q9Y2Z4	SYYM_HUMAN	YARS2	Tyrosine--tRNA ligase, mitochondrial						1.05803e+06												
Q9Y303	Q9Y303	NAGA_HUMAN	AMDHD2	N-acetylglucosamine-6-phosphate deacetylase	237369	262269	247787	151410		40740.6	337063	289909	189392					382354		206971	55917.9	115999
Q9Y320	Q9Y320	TMX2_HUMAN	TMX2	Thioredoxin-related transmembrane protein 2					314488													
Q9Y376	Q9Y376	CAB39_HUMAN	CAB39	Calcium-binding protein 39		175795	352117	347950	59057.3				236414	404875	494640			158881		347282	491857	449127
Q9Y383	Q9Y383	LC7L2_HUMAN	LUC7L2	Putative RNA-binding protein Luc7-like 2						53777.4												11078.1
Q9Y3A5	Q9Y3A5	SBDS_HUMAN	SBDS	Ribosome maturation protein SBDS	345097	400272	433517	375226	242991	545107	338855	475283	410490	416074	231592	390861	1.24095e+06	386530	325797	453712	341087	652678
Q9Y3B4	Q9Y3B4	SF3B6_HUMAN	SF3B6	Splicing factor 3B subunit 6	135772	177221	252735	158137	89911.1	306684	232526	207986	168980	165987	50096.2		468631	264471	301109	307249	169263	274804
Q9Y3B8	Q9Y3B8	ORN_HUMAN	REXO2	Oligoribonuclease, mitochondrial		210763	509659	264352	256962	829120	168581	171139	168097	294395	195546	500665	561967	271777		376807	223115	383885
Q9Y3C4	Q9Y3C4	TPRKB_HUMAN	TPRKB	EKC/KEOPS complex subunit TPRKB					135233													
Q9Y3F4	Q9Y3F4	STRAP_HUMAN	STRAP	Serine-threonine kinase receptor-associated protein	266863	210787	137255	219128		194351	219593	326266	167825	221937	83647.7	223503	408711	397556	368515	244992	144667	413323
Q9Y3I0	Q9Y3I0	RTCB_HUMAN	RTCB	RNA-splicing ligase RtcB homolog	104169	37338.4	86361.5	107514		164439	82977.6	165314	38831.2	118355				112654		48840.5	48330.6	
Q9Y3I1	Q9Y3I1	FBX7_HUMAN	FBXO7	F-box only protein 7						391270												
Q9Y3P9	Q9Y3P9	RBGP1_HUMAN	RABGAP1	Rab GTPase-activating protein 1												762331						67552.5
Q9Y3U8	Q9Y3U8	RL36_HUMAN	RPL36	60S ribosomal protein L36	1.73691e+06	1.68222e+06	1.2419e+06	1.12951e+06		702506	1.85172e+06	1.68779e+06	1.17908e+06	1.34956e+06	324811	384478	1.59788e+06	1.92967e+06	1.21174e+06	1.73926e+06	235685	408266
Q9Y450	Q9Y450	HBS1L_HUMAN	HBS1L	HBS1-like protein					233974	119273						1.55585e+06						217885
Q9Y490	Q9Y490	TLN1_HUMAN	TLN1	Talin-1	1.45668e+06	1.29889e+06	903262	1.37534e+06	667150	949653	1.35743e+06	1.13893e+06	1.05918e+06	1.18421e+06	500425	721252	746264	746056	896570	665082	679082	983425
Q9Y490;Q9Y4G6	Q9Y4G6;Q9Y490	TLN1_HUMAN;TLN2_HUMAN	TLN1;TLN2	Talin-1	504869	542602	251138	427198	657369	376316	418470	593648	424614	466720	210656		269648	391140	191698	261499	221720	295356
Q9Y4C2	Q9Y4C2	TCAF1_HUMAN	TCAF1	TRPM8 channel-associated factor 1					113701	962060												
Q9Y4G6	Q9Y4G6	TLN2_HUMAN	TLN2	Talin-2	47333.5	56863.7		40737.2		358193	22137.7	31992	36200.3	47341.3						8115.41		
Q9Y4L1	Q9Y4L1	HYOU1_HUMAN	HYOU1	Hypoxia up-regulated protein 1	1.51074e+06	1.592e+06	2.00017e+06	1.83996e+06	2.76326e+06	1.29831e+06	1.21592e+06	1.06706e+06	1.66887e+06	1.61247e+06	2.79583e+06	2.21448e+06	1.23702e+06	1.21469e+06	2.41393e+06	1.52855e+06	3.15416e+06	1.40156e+06
Q9Y4R8	Q9Y4R8	TELO2_HUMAN	TELO2	Telomere length regulation protein TEL2 homolog					118099	695314						356638						212238
Q9Y4Z0	Q9Y4Z0	LSM4_HUMAN	LSM4	U6 snRNA-associated Sm-like protein LSm4								52364.5		136921				127024		142386	29472.4	
Q9Y5B9	Q9Y5B9	SP16H_HUMAN	SUPT16H	FACT complex subunit SPT16	272228	295816		197850	258783	235437	306106	237747	257899	195891	59533			222263		241917	147743	265981
Q9Y5C1	Q9Y5C1	ANGL3_HUMAN	ANGPTL3	Angiopoietin-related protein 3		352191	130659	302200		116083	294603	262320	272820									
Q9Y5G0	Q9Y5G0	PCDGH_HUMAN	PCDHGB5	Protocadherin gamma-B5	1.44562e+07	1.63441e+07	3.85827e+06	1.57632e+07	1.53051e+06	567448	7.85246e+06	1.14212e+07	6.59708e+06	1.85204e+07	1.18274e+06	1.32891e+06	4.3465e+06	6.37987e+06	5.48921e+06	4.01366e+06	859626	489776
Q9Y5J1	Q9Y5J1	UTP18_HUMAN	UTP18	U3 small nucleolar RNA-associated protein 18 homolog					130611													
Q9Y5L4	Q9Y5L4	TIM13_HUMAN	TIMM13	Mitochondrial import inner membrane translocase subunit Tim13																		298685
Q9Y5M8	Q9Y5M8	SRPRB_HUMAN	SRPRB	Signal recognition particle receptor subunit beta						504941												169832
Q9Y5S9	Q9Y5S9	RBM8A_HUMAN	RBM8A	RNA-binding protein 8A			98205.1			407461			653443		26089.4	119491		121032		154560	367109	263643
